dataset,experiment_id,model,input_signal,input_column,macro_f1_mean,macro_f1_std,macro_f1_mean_percent,macro_f1_std_percent,weighted_f1_mean,weighted_f1_std,weighted_f1_mean_percent,weighted_f1_std_percent,auc_mean,auc_std,auc_mean_percent,auc_std_percent,precision_mean,precision_std,precision_mean_percent,precision_std_percent,recall_mean,recall_std,recall_mean_percent,recall_std_percent,source_log
vr_goalkeeper,exp1,CNN,PD,meanDia_corrected,0.8885,0.087,88.85,8.7,0.8885,0.087,88.85,8.7,0.9334,0.0769,93.34,7.6899999999999995,0.8898,0.0851,88.98,8.51,0.8898,0.0851,88.98,8.51,results/vr_goalkeeper/DL/2024-08-09/CNN/1/final_summary.txt
vr_goalkeeper,exp2,CNN,Angular velocity,velocity,0.943,0.0828,94.3,8.28,0.943,0.0828,94.3,8.28,0.9293,0.0943,92.93,9.43,0.9444,0.0786,94.44,7.86,0.9444,0.0786,94.44,7.86,results/vr_goalkeeper/DL/2024-08-09/CNN/2/final_summary.txt
vr_goalkeeper,exp3,CNN,Angular acceleration,acceleration,0.9436,0.0633,94.36,6.329999999999999,0.9436,0.0633,94.36,6.329999999999999,0.9374,0.0706,93.74,7.06,0.9444,0.061,94.44,6.1,0.9444,0.061,94.44,6.1,results/vr_goalkeeper/DL/2024-08-09/CNN/3/final_summary.txt
vr_goalkeeper,exp4,CNN,Visual angle,position,0.9581,0.0584,95.81,5.84,0.9581,0.0584,95.81,5.84,0.9519,0.0658,95.19,6.58,0.9583,0.0581,95.83,5.81,0.9583,0.0581,95.83,5.81,results/vr_goalkeeper/DL/2024-08-09/CNN/4/final_summary.txt
vr_goalkeeper,exp5,CNN,Asymptotic model,asymptotic_model,0.9526,0.0767,95.26,7.670000000000001,0.9526,0.0767,95.26,7.670000000000001,0.9455,0.0901,94.55,9.01,0.9537,0.0735,95.37,7.35,0.9537,0.0735,95.37,7.35,results/vr_goalkeeper/DL/2024-08-09/CNN/5/final_summary.txt
vr_goalkeeper,exp6,CNN,Fixations,fix_array,0.9167,0.0604,91.67,6.04,0.9167,0.0604,91.67,6.04,0.9302,0.0741,93.02,7.41,0.9176,0.0592,91.75999999999999,5.92,0.9176,0.0592,91.75999999999999,5.92,results/vr_goalkeeper/DL/2024-08-09/CNN/6/final_summary.txt
vr_goalkeeper,exp10,LSTM-1,PD,meanDia_corrected,0.6253,0.1184,62.529999999999994,11.84,0.6253,0.1184,62.529999999999994,11.84,0.6215,0.1068,62.150000000000006,10.68,0.6511,0.0874,65.11,8.74,0.6491,0.0862,64.91,8.62,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/10/final_summary.txt
vr_goalkeeper,exp11,LSTM-1,Angular velocity,velocity,0.5961,0.1341,59.61,13.41,0.5961,0.1341,59.61,13.41,0.6052,0.1151,60.519999999999996,11.51,0.6316,0.1055,63.160000000000004,10.549999999999999,0.6306,0.1064,63.06,10.639999999999999,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/11/final_summary.txt
vr_goalkeeper,exp12,LSTM-1,Angular acceleration,acceleration,0.5228,0.1523,52.28,15.229999999999999,0.5228,0.1523,52.28,15.229999999999999,0.5674,0.1251,56.74,12.509999999999998,0.5846,0.1118,58.46,11.18,0.5759,0.1203,57.589999999999996,12.030000000000001,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/12/final_summary.txt
vr_goalkeeper,exp13,LSTM-1,Visual angle,position,0.5472,0.1445,54.72,14.45,0.5472,0.1445,54.72,14.45,0.5382,0.0599,53.82,5.99,0.607,0.0974,60.699999999999996,9.74,0.6037,0.0995,60.370000000000005,9.950000000000001,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/13/final_summary.txt
vr_goalkeeper,exp14,LSTM-1,Asymptotic model,asymptotic_model,0.6199,0.1576,61.99,15.76,0.6199,0.1576,61.99,15.76,0.5819,0.1186,58.19,11.86,0.6552,0.1266,65.52,12.659999999999998,0.6435,0.139,64.35,13.900000000000002,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/14/final_summary.txt
vr_goalkeeper,exp15,LSTM-1,Fixations,fix_array,0.6801,0.1345,68.01,13.450000000000001,0.6801,0.1345,68.01,13.450000000000001,0.679,0.1371,67.9,13.71,0.6972,0.1187,69.72,11.87,0.6972,0.1187,69.72,11.87,results/vr_goalkeeper/DL/2024-08-09/LSTM-1/15/final_summary.txt
vr_goalkeeper,exp19,ConvLSTM-1,PD,meanDia_corrected,0.8451,0.1053,84.50999999999999,10.530000000000001,0.8451,0.1053,84.50999999999999,10.530000000000001,0.8726,0.1245,87.26,12.45,0.8472,0.103,84.72,10.299999999999999,0.8472,0.103,84.72,10.299999999999999,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/19/final_summary.txt
vr_goalkeeper,exp20,ConvLSTM-1,Angular velocity,velocity,0.9533,0.0484,95.33,4.84,0.9533,0.0484,95.33,4.84,0.951,0.0548,95.1,5.48,0.9537,0.0475,95.37,4.75,0.9537,0.0475,95.37,4.75,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/20/final_summary.txt
vr_goalkeeper,exp21,ConvLSTM-1,Angular acceleration,acceleration,0.9455,0.0677,94.55,6.77,0.9455,0.0677,94.55,6.77,0.9337,0.0769,93.37,7.6899999999999995,0.9463,0.0655,94.63000000000001,6.550000000000001,0.9463,0.0655,94.63000000000001,6.550000000000001,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/21/final_summary.txt
vr_goalkeeper,exp22,ConvLSTM-1,Visual angle,position,0.9367,0.068,93.67,6.800000000000001,0.9367,0.068,93.67,6.800000000000001,0.9397,0.0626,93.97,6.260000000000001,0.938,0.065,93.8,6.5,0.938,0.065,93.8,6.5,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/22/final_summary.txt
vr_goalkeeper,exp23,ConvLSTM-1,Asymptotic model,asymptotic_model,0.9491,0.0728,94.91000000000001,7.28,0.9491,0.0728,94.91000000000001,7.28,0.9527,0.0745,95.27,7.449999999999999,0.95,0.0704,95.0,7.04,0.95,0.0704,95.0,7.04,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/23/final_summary.txt
vr_goalkeeper,exp24,ConvLSTM-1,Fixations,fix_array,0.8784,0.0833,87.83999999999999,8.33,0.8784,0.0833,87.83999999999999,8.33,0.9037,0.086,90.36999999999999,8.6,0.8806,0.0809,88.06,8.09,0.8806,0.0809,88.06,8.09,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-1/24/final_summary.txt
vr_goalkeeper,exp28,LSTM-3,PD,meanDia_corrected,0.6539,0.1234,65.39,12.34,0.6539,0.1234,65.39,12.34,0.6732,0.1175,67.32000000000001,11.75,0.6738,0.0933,67.38,9.33,0.6731,0.093,67.31,9.3,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/28/final_summary.txt
vr_goalkeeper,exp29,LSTM-3,Angular velocity,velocity,0.7497,0.1909,74.97,19.09,0.7497,0.1909,74.97,19.09,0.7488,0.1682,74.88,16.82,0.7716,0.1568,77.16,15.68,0.7704,0.1578,77.03999999999999,15.78,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/29/final_summary.txt
vr_goalkeeper,exp30,LSTM-3,Angular acceleration,acceleration,0.6056,0.1814,60.56,18.14,0.6056,0.1814,60.56,18.14,0.6455,0.1588,64.55,15.879999999999999,0.6474,0.1451,64.74,14.510000000000002,0.6463,0.1457,64.63,14.57,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/30/final_summary.txt
vr_goalkeeper,exp31,LSTM-3,Visual angle,position,0.7267,0.2316,72.67,23.16,0.7267,0.2316,72.67,23.16,0.7619,0.1815,76.19,18.15,0.7667,0.1763,76.67,17.630000000000003,0.7667,0.1763,76.67,17.630000000000003,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/31/final_summary.txt
vr_goalkeeper,exp32,LSTM-3,Asymptotic model,asymptotic_model,0.8273,0.1333,82.73,13.33,0.8273,0.1333,82.73,13.33,0.8212,0.1554,82.12,15.540000000000001,0.8303,0.1292,83.03,12.920000000000002,0.8296,0.1298,82.96,12.98,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/32/final_summary.txt
vr_goalkeeper,exp33,LSTM-3,Fixations,fix_array,0.6902,0.1283,69.02000000000001,12.83,0.6902,0.1283,69.02000000000001,12.83,0.6966,0.1393,69.66,13.930000000000001,0.7065,0.1134,70.65,11.34,0.7065,0.1134,70.65,11.34,results/vr_goalkeeper/DL/2024-08-09/LSTM-3/33/final_summary.txt
vr_goalkeeper,exp37,ConvLSTM-3,PD,meanDia_corrected,0.8179,0.1236,81.78999999999999,12.36,0.8179,0.1236,81.78999999999999,12.36,0.795,0.1583,79.5,15.83,0.8235,0.1173,82.35,11.73,0.8213,0.1186,82.13000000000001,11.86,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/37/final_summary.txt
vr_goalkeeper,exp38,ConvLSTM-3,Angular velocity,velocity,0.9596,0.0607,95.96000000000001,6.069999999999999,0.9596,0.0607,95.96000000000001,6.069999999999999,0.9696,0.0436,96.96000000000001,4.36,0.9602,0.059,96.02000000000001,5.8999999999999995,0.9602,0.059,96.02000000000001,5.8999999999999995,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/38/final_summary.txt
vr_goalkeeper,exp39,ConvLSTM-3,Angular acceleration,acceleration,0.9412,0.0735,94.12,7.35,0.9412,0.0735,94.12,7.35,0.937,0.0843,93.7,8.43,0.9417,0.0723,94.17,7.23,0.9417,0.0723,94.17,7.23,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/39/final_summary.txt
vr_goalkeeper,exp40,ConvLSTM-3,Visual angle,position,0.9533,0.0691,95.33,6.909999999999999,0.9533,0.0691,95.33,6.909999999999999,0.9516,0.0765,95.16,7.6499999999999995,0.9537,0.0679,95.37,6.79,0.9537,0.0679,95.37,6.79,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/40/final_summary.txt
vr_goalkeeper,exp41,ConvLSTM-3,Asymptotic model,asymptotic_model,0.9598,0.0572,95.98,5.72,0.9598,0.0572,95.98,5.72,0.9701,0.0449,97.00999999999999,4.49,0.9602,0.0562,96.02000000000001,5.62,0.9602,0.0562,96.02000000000001,5.62,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/41/final_summary.txt
vr_goalkeeper,exp42,ConvLSTM-3,Fixations,fix_array,0.8992,0.0883,89.92,8.83,0.8992,0.0883,89.92,8.83,0.9206,0.0725,92.06,7.249999999999999,0.9009,0.0843,90.09,8.43,0.9009,0.0843,90.09,8.43,results/vr_goalkeeper/DL/2024-08-09/ConvLSTM-3/42/final_summary.txt
