test_id,macro_f1,precision_macro,recall_macro,roc_auc
0,0.8742928975487115,0.8836317135549872,0.875,0.9500000000000001
1,0.95,0.95,0.95,0.97
2,1.0,1.0,1.0,1.0
3,0.8248905565978737,0.8258145363408521,0.825,0.895
4,0.899749373433584,0.904040404040404,0.8999999999999999,0.9624999999999999
6,0.949874686716792,0.9545454545454546,0.95,0.9875
7,0.9,0.9,0.9,0.9299999999999999
8,0.949874686716792,0.9545454545454546,0.95,0.98
9,0.9749843652282677,0.9761904761904762,0.975,1.0
10,0.899749373433584,0.904040404040404,0.8999999999999999,0.905
11,0.8222222222222222,0.8466666666666667,0.825,0.915
12,0.7206349206349206,0.74,0.725,0.755
13,0.95,0.95,0.95,0.9874999999999999
14,0.9245757385292269,0.9347826086956521,0.925,0.9924999999999999
15,0.7916666666666667,0.8571428571428572,0.8,0.9199999999999999
16,0.7163120567375887,0.7564102564102564,0.7250000000000001,0.8175
17,0.9249530956848031,0.9260651629072681,0.925,0.95
18,0.6930946291560103,0.7197802197802198,0.7,0.7
19,0.9249530956848031,0.9260651629072681,0.925,0.93
20,1.0,1.0,1.0,1.0
21,0.8742928975487115,0.8836317135549872,0.875,0.9525000000000001
22,0.9249530956848031,0.9260651629072681,0.925,0.9724999999999999
23,0.7748592870544091,0.7756892230576441,0.775,0.835
24,1.0,1.0,1.0,1.0
26,0.949874686716792,0.9545454545454546,0.95,0.9725
27,0.95,0.95,0.95,0.985
29,0.8248905565978737,0.8258145363408521,0.825,0.9575
