test_id,macro_f1,precision_macro,recall_macro,roc_auc
0,0.949874686716792,0.9545454545454546,0.95,0.9425
1,1.0,1.0,1.0,1.0
2,0.9749843652282677,0.9761904761904762,0.975,0.9974999999999999
3,0.949874686716792,0.9545454545454546,0.95,0.9450000000000001
4,0.95,0.95,0.95,0.9874999999999999
6,1.0,1.0,1.0,1.0
7,0.9749843652282677,0.9761904761904762,0.975,0.97
8,0.949874686716792,0.9545454545454546,0.95,0.9925
9,0.9749843652282677,0.9761904761904762,0.975,0.9524999999999999
10,1.0,1.0,1.0,1.0
11,0.7748592870544091,0.7756892230576441,0.775,0.8525
12,0.7916666666666667,0.8571428571428572,0.8,0.8799999999999999
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,0.873015873015873,0.9,0.875,0.96
16,1.0,1.0,1.0,1.0
17,0.9749843652282677,0.9761904761904762,0.975,0.9524999999999999
18,0.95,0.95,0.95,0.98
19,1.0,1.0,1.0,1.0
20,0.95,0.95,0.95,0.995
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.9749843652282677,0.9761904761904762,0.975,1.0
24,1.0,1.0,1.0,1.0
26,0.9749843652282677,0.9761904761904762,0.975,0.97
27,0.9749843652282677,0.9761904761904762,0.975,0.99
29,0.95,0.95,0.95,0.9875
